"","subj","rt_log","valenceE","t1","t2"
"431",16,8.15,0.5,0,1
"432",16,6.78,0.5,0,1
"433",16,6.68,0.5,0,1
"434",16,7.49,0.5,0,1
"435",16,6.6,0.5,0,1
"436",16,6.73,0.5,0,1
"437",16,7.86,0.5,0,1
"438",16,6.99,0.5,0,1
"439",16,6.59,0.5,0,1
"440",16,7.07,0.5,0,1
"441",17,6.75,-0.5,1,0
"442",17,6.87,-0.5,1,0
"443",17,6.75,-0.5,1,0
"444",17,7.02,-0.5,1,0
"445",17,6.71,-0.5,1,0
"446",17,6.66,-0.5,1,0
"447",17,7.33,-0.5,1,0
"448",17,6.89,-0.5,1,0
"449",17,7.43,-0.5,1,0
"450",17,7.78,-0.5,1,0
"451",17,7.13,-0.5,1,0
"452",17,7.35,-0.5,0,1
"453",17,7,-0.5,0,1
"454",17,6.59,-0.5,0,1
"455",17,6.75,-0.5,0,1
"456",17,6.79,-0.5,0,1
"457",17,6.73,-0.5,0,1
"458",17,7.28,-0.5,0,1
"459",17,6.95,-0.5,0,1
"460",17,6.98,-0.5,0,1
"461",17,6.83,-0.5,0,1
"462",17,7.07,-0.5,0,1
"463",17,6.92,-0.5,0,1
"464",17,6.55,-0.5,0,1
"465",17,7.38,0.5,1,0
"466",17,7.02,0.5,1,0
"467",17,7.19,0.5,1,0
"468",17,7.04,0.5,1,0
"469",17,7.25,0.5,1,0
"470",17,6.62,0.5,0,1
"471",17,7.1,0.5,0,1
"472",17,7.18,0.5,0,1
"473",17,7.24,0.5,0,1
"474",17,6.77,0.5,0,1
"475",18,7.29,-0.5,1,0
"476",18,7.05,-0.5,1,0
"477",18,7.1,-0.5,1,0
"478",18,8.09,-0.5,1,0
"479",18,7.07,-0.5,1,0
"480",18,7.02,-0.5,1,0
"481",18,8.22,-0.5,1,0
"482",18,6.64,-0.5,1,0
"483",18,6.83,-0.5,0,1
"484",18,7.02,-0.5,0,1
"485",18,6.9,-0.5,0,1
"486",18,7.3,-0.5,0,1
"487",18,7,-0.5,0,1
"488",18,7.8,-0.5,0,1
"489",18,7.43,-0.5,0,1
"490",18,8.13,-0.5,0,1
"491",18,8.23,0.5,1,0
"492",18,7.23,0.5,1,0
"493",18,6.66,0.5,1,0
"494",18,6.56,0.5,1,0
"495",18,7.45,0.5,1,0
"496",18,7.06,0.5,1,0
"497",18,8.51,0.5,1,0
"498",18,6.82,0.5,1,0
"499",18,7.26,0.5,1,0
"500",18,7.39,0.5,1,0
"501",18,7.37,0.5,1,0
"502",18,7.65,0.5,1,0
"503",18,7.58,0.5,0,1
"504",18,7.62,0.5,0,1
"505",18,6.9,0.5,0,1
"506",18,7.09,0.5,0,1
"507",18,8.32,0.5,0,1
"508",18,7.46,0.5,0,1
"509",19,6.78,-0.5,1,0
"510",19,6.56,-0.5,1,0
"511",19,6.73,-0.5,1,0
"512",19,6.98,-0.5,1,0
"513",19,7.18,-0.5,1,0
"514",19,6.62,-0.5,1,0
"515",19,7.1,-0.5,1,0
"516",19,6.66,-0.5,1,0
"517",19,7.13,-0.5,1,0
"518",19,6.83,-0.5,1,0
"519",19,6.65,-0.5,1,0
"520",19,6.52,-0.5,1,0
"521",19,6.75,-0.5,1,0
"522",19,8.38,-0.5,0,1
"523",19,6.55,-0.5,0,1
"524",19,6.95,-0.5,0,1
"525",19,8.36,-0.5,0,1
"526",19,7.35,-0.5,0,1
"527",19,6.81,-0.5,0,1
"528",19,7.04,-0.5,0,1
"529",19,7.21,-0.5,0,1
"530",19,7.18,-0.5,0,1
"531",19,6.95,-0.5,0,1
"532",19,7.24,-0.5,0,1
"533",19,6.65,-0.5,0,1
"534",19,7.51,-0.5,0,1
"535",19,6.63,0.5,1,0
"536",19,6.99,0.5,1,0
"537",19,7.17,0.5,1,0
"538",19,6.74,0.5,1,0
"539",19,6.9,0.5,1,0
"540",19,6.46,0.5,1,0
"541",19,6.82,0.5,1,0
"542",19,6.88,0.5,1,0
"543",19,6.47,0.5,0,1
"544",19,8.17,0.5,0,1
"545",19,7.66,0.5,0,1
"546",19,7.1,0.5,0,1
"547",19,7.02,0.5,0,1
"548",19,7.07,0.5,0,1
"549",19,7.24,0.5,0,1
"550",19,7.03,0.5,0,1
"551",19,7.13,0.5,0,1
"552",19,6.96,0.5,0,1
"553",19,6.7,0.5,0,1
"554",20,7.69,-0.5,1,0
"555",20,7.33,-0.5,1,0
"556",20,7.45,-0.5,1,0
"557",20,7.56,-0.5,1,0
"558",20,7.99,-0.5,1,0
"559",20,7.13,-0.5,0,1
"560",20,8.32,-0.5,0,1
"561",20,8.37,-0.5,0,1
"562",20,7.18,-0.5,0,1
"563",20,7.8,0.5,1,0
"564",20,7.07,0.5,1,0
"565",20,6.8,0.5,1,0
"566",20,7.99,0.5,1,0
"567",20,7.62,0.5,1,0
"568",20,7.43,0.5,1,0
"569",20,7.13,0.5,1,0
"570",20,6.89,0.5,1,0
"571",20,7.07,0.5,1,0
"572",20,6.76,0.5,1,0
"573",20,6.98,0.5,1,0
"574",20,6.91,0.5,1,0
"575",20,8.31,0.5,1,0
"576",20,7.06,0.5,1,0
"577",20,8.48,0.5,1,0
"578",20,6.91,0.5,1,0
"579",20,7.49,0.5,1,0
"580",20,7.37,0.5,0,1
"581",20,7.77,0.5,0,1
"582",20,7.44,0.5,0,1
"583",20,7.57,0.5,0,1
"584",20,6.95,0.5,0,1
"585",20,7.12,0.5,0,1
"586",20,6.67,0.5,0,1
"587",20,6.41,0.5,0,1
"588",20,7,0.5,0,1
"589",20,6.64,0.5,0,1
"590",20,6.61,0.5,0,1
"591",20,6.52,0.5,0,1
"592",20,6.8,0.5,0,1
"593",20,6.68,0.5,0,1
"594",20,6.85,0.5,0,1
"595",20,7.17,0.5,0,1
"596",20,6.66,0.5,0,1
"597",21,7.32,-0.5,1,0
"598",21,7.07,-0.5,1,0
"599",21,7.09,-0.5,1,0
"600",21,7.16,-0.5,0,1
"601",21,7.31,-0.5,0,1
"602",21,8.26,-0.5,0,1
"603",21,7.24,0.5,1,0
"604",21,6.53,0.5,1,0
"605",21,7.37,0.5,1,0
"606",21,7.24,0.5,1,0
"607",21,6.96,0.5,1,0
"608",21,6.61,0.5,1,0
"609",21,6.86,0.5,1,0
"610",21,6.8,0.5,1,0
"611",21,6.6,0.5,1,0
"612",21,7.61,0.5,1,0
"613",21,6.82,0.5,1,0
"614",21,6.36,0.5,1,0
"615",21,6.46,0.5,1,0
"616",21,6.62,0.5,1,0
"617",21,6.8,0.5,1,0
"618",21,6.93,0.5,1,0
"619",21,6.71,0.5,1,0
"620",21,7.15,0.5,1,0
"621",21,6.7,0.5,1,0
"622",21,6.84,0.5,1,0
"623",21,6.75,0.5,0,1
"624",21,6.81,0.5,0,1
"625",21,7.45,0.5,0,1
"626",21,6.66,0.5,0,1
"627",21,6.7,0.5,0,1
"628",21,6.58,0.5,0,1
"629",21,7.61,0.5,0,1
"630",21,6.8,0.5,0,1
"631",21,7.66,0.5,0,1
"632",21,6.71,0.5,0,1
"633",21,6.99,0.5,0,1
"634",21,6.8,0.5,0,1
"635",21,6.54,0.5,0,1
"636",21,6.65,0.5,0,1
"637",21,6.9,0.5,0,1
"638",21,7.47,0.5,0,1
"639",21,6.61,0.5,0,1
"640",21,6.67,0.5,0,1
"641",21,6.57,0.5,0,1
"642",24,7.34,-0.5,1,0
"643",24,7.02,-0.5,1,0
"644",24,7.21,-0.5,1,0
"645",24,6.81,-0.5,1,0
"646",24,6.94,-0.5,1,0
"647",24,7.64,-0.5,1,0
"648",24,6.8,-0.5,1,0
"649",24,7.23,-0.5,1,0
"650",24,6.98,-0.5,0,1
"651",24,6.85,-0.5,0,1
"652",24,6.89,-0.5,0,1
"653",24,7.23,-0.5,0,1
"654",24,7.28,-0.5,0,1
"655",24,6.9,-0.5,0,1
"656",24,6.94,-0.5,0,1
"657",24,6.91,-0.5,0,1
"658",24,7.55,0.5,1,0
"659",24,6.9,0.5,1,0
"660",24,7.75,0.5,1,0
"661",24,6.57,0.5,1,0
"662",24,6.62,0.5,1,0
"663",24,6.58,0.5,1,0
"664",24,6.69,0.5,1,0
"665",24,6.76,0.5,1,0
"666",24,6.84,0.5,1,0
"667",24,6.62,0.5,1,0
"668",24,6.61,0.5,1,0
"669",24,6.62,0.5,1,0
"670",24,6.6,0.5,1,0
"671",24,6.72,0.5,1,0
"672",24,6.63,0.5,1,0
"673",24,6.96,0.5,1,0
"674",24,7.41,0.5,1,0
"675",24,6.63,0.5,1,0
"676",24,6.59,0.5,0,1
"677",24,6.51,0.5,0,1
"678",24,6.59,0.5,0,1
"679",24,6.55,0.5,0,1
"680",24,7.2,0.5,0,1
"681",24,6.73,0.5,0,1
"682",24,6.65,0.5,0,1
"683",24,6.65,0.5,0,1
"684",24,6.71,0.5,0,1
"685",24,6.68,0.5,0,1
"686",24,6.79,0.5,0,1
"687",24,6.59,0.5,0,1
"688",24,6.8,0.5,0,1
"689",24,7,0.5,0,1
"690",24,6.89,0.5,0,1
"691",24,6.52,0.5,0,1
"692",24,6.63,0.5,0,1
"693",24,6.63,0.5,0,1
"694",26,8.15,-0.5,1,0
"695",26,7.78,-0.5,1,0
"696",26,7.87,-0.5,0,1
"697",26,7.35,-0.5,0,1
"698",26,7.61,-0.5,0,1
"699",26,7.66,0.5,1,0
"700",26,7.21,0.5,1,0
"701",26,7.29,0.5,1,0
"702",26,7.06,0.5,1,0
"703",26,6.78,0.5,1,0
"704",26,6.68,0.5,1,0
"705",26,7.74,0.5,1,0
"706",26,7.22,0.5,1,0
"707",26,6.79,0.5,1,0
"708",26,7.54,0.5,1,0
"709",26,7.02,0.5,1,0
"710",26,7.56,0.5,1,0
"711",26,8.02,0.5,1,0
"712",26,7.52,0.5,1,0
"713",26,7.01,0.5,1,0
"714",26,6.82,0.5,1,0
"715",26,7.87,0.5,1,0
"716",26,6.99,0.5,0,1
"717",26,6.7,0.5,0,1
"718",26,6.66,0.5,0,1
"719",26,6.56,0.5,0,1
"720",26,6.74,0.5,0,1
"721",26,6.99,0.5,0,1
"722",26,6.66,0.5,0,1
"723",26,6.57,0.5,0,1
"724",26,7.03,0.5,0,1
"725",26,8.05,0.5,0,1
"726",26,8.1,0.5,0,1
"727",26,7.49,0.5,0,1
"728",26,6.82,0.5,0,1
"729",26,6.5,0.5,0,1
"730",26,6.59,0.5,0,1
"731",26,6.61,0.5,0,1
"732",27,7.07,-0.5,1,0
"733",27,6.8,-0.5,0,1
"734",27,6.87,-0.5,0,1
"735",27,6.86,-0.5,0,1
"736",27,6.34,0.5,1,0
"737",27,6.45,0.5,1,0
"738",27,6.51,0.5,1,0
"739",27,6.53,0.5,1,0
"740",27,6.66,0.5,1,0
"741",27,6.67,0.5,1,0
"742",27,6.65,0.5,1,0
"743",27,6.79,0.5,1,0
"744",27,6.53,0.5,1,0
"745",27,6.55,0.5,1,0
"746",27,6.82,0.5,1,0
"747",27,6.67,0.5,1,0
"748",27,6.65,0.5,1,0
"749",27,6.89,0.5,1,0
"750",27,6.11,0.5,0,1
"751",27,6.39,0.5,0,1
"752",27,6.47,0.5,0,1
"753",27,6.28,0.5,0,1
"754",27,6.39,0.5,0,1
"755",27,6.43,0.5,0,1
"756",27,6.87,0.5,0,1
"757",27,7.1,0.5,0,1
"758",27,6.54,0.5,0,1
"759",27,6.74,0.5,0,1
"760",27,6.79,0.5,0,1
"761",27,6.48,0.5,0,1
"762",27,6.44,0.5,0,1
"763",27,6.86,0.5,0,1
"764",27,6.72,0.5,0,1
"765",27,6.63,0.5,0,1
"766",29,7.54,-0.5,1,0
"767",29,7.12,-0.5,1,0
"768",29,6.91,-0.5,1,0
"769",29,7.35,-0.5,0,1
"770",29,7.02,-0.5,0,1
"771",29,7.34,-0.5,0,1
"772",29,6.78,0.5,1,0
"773",29,6.63,0.5,1,0
"774",29,6.77,0.5,1,0
"775",29,6.69,0.5,1,0
"776",29,6.79,0.5,1,0
"777",29,7.32,0.5,1,0
"778",29,6.69,0.5,1,0
"779",29,6.53,0.5,1,0
"780",29,7.63,0.5,1,0
"781",29,7.05,0.5,1,0
"782",29,6.67,0.5,1,0
"783",29,7,0.5,1,0
"784",29,7.32,0.5,1,0
"785",29,8.46,0.5,1,0
"786",29,7.04,0.5,1,0
"787",29,7.86,0.5,1,0
"788",29,7.18,0.5,1,0
"789",29,6.53,0.5,1,0
"790",29,6.79,0.5,0,1
"791",29,6.68,0.5,0,1
"792",29,6.53,0.5,0,1
"793",29,6.69,0.5,0,1
"794",29,6.88,0.5,0,1
"795",29,6.6,0.5,0,1
"796",29,6.78,0.5,0,1
"797",29,6.84,0.5,0,1
"798",29,7.16,0.5,0,1
"799",29,6.87,0.5,0,1
"800",29,6.86,0.5,0,1
"801",29,6.93,0.5,0,1
"802",29,7.06,0.5,0,1
"803",31,6.97,-0.5,1,0
"804",31,6.68,-0.5,1,0
"805",31,6.81,-0.5,1,0
"806",31,6.75,-0.5,1,0
"807",31,6.78,-0.5,1,0
"808",31,7.04,-0.5,0,1
"809",31,6.65,-0.5,0,1
"810",31,7.17,-0.5,0,1
"811",31,6.87,-0.5,0,1
"812",31,6.65,-0.5,0,1
"813",31,6.63,-0.5,0,1
"814",31,7.07,-0.5,0,1
"815",31,6.98,-0.5,0,1
"816",31,6.96,-0.5,0,1
"817",31,6.7,0.5,1,0
"818",31,6.42,0.5,1,0
"819",31,6.47,0.5,1,0
"820",31,6.38,0.5,1,0
"821",31,6.51,0.5,1,0
"822",31,6.43,0.5,1,0
"823",31,7.29,0.5,1,0
"824",31,7.18,0.5,1,0
"825",31,6.57,0.5,1,0
"826",31,7.04,0.5,1,0
"827",31,7.11,0.5,1,0
"828",31,6.67,0.5,1,0
"829",31,6.75,0.5,1,0
"830",31,6.72,0.5,1,0
"831",31,6.76,0.5,1,0
"832",31,6.61,0.5,1,0
"833",31,6.45,0.5,1,0
"834",31,6.76,0.5,0,1
"835",31,6.6,0.5,0,1
"836",31,6.39,0.5,0,1
"837",31,6.43,0.5,0,1
"838",31,6.51,0.5,0,1
"839",31,6.5,0.5,0,1
"840",31,6.69,0.5,0,1
"841",31,6.9,0.5,0,1
"842",31,6.6,0.5,0,1
"843",31,6.89,0.5,0,1
"844",31,7.03,0.5,0,1
"845",31,7.11,0.5,0,1
"846",31,6.52,0.5,0,1
"847",31,7,0.5,0,1
"848",31,6.75,0.5,0,1
"849",31,6.34,0.5,0,1
"850",31,6.38,0.5,0,1
